Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/03/2024,11/10/2024,SCORPION BAR GRAND,Food & Drink,Sale,-44.52,
11/08/2024,11/10/2024,UBER   *TRIP,Travel,Sale,-14.25,
11/09/2024,11/10/2024,BEANTOWN PUB.,Food & Drink,Sale,-271.43,
11/08/2024,11/08/2024,TROQUET ON SOUTH,Food & Drink,Sale,-50.00,
11/07/2024,11/08/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
11/07/2024,11/08/2024,CASA PORTUGAL REST,Food & Drink,Sale,-79.15,
11/07/2024,11/08/2024,UBER   *TRIP,Travel,Sale,-15.65,
11/07/2024,11/08/2024,Store,Food & Drink,Sale,-15.05,
11/06/2024,11/07/2024,TST*RUSSELL HOUSE TAVERN,Food & Drink,Sale,-78.00,
11/06/2024,11/07/2024,SQ *ZINNEKEN'S BELGIAN WA,Food & Drink,Sale,-21.54,
11/05/2024,11/06/2024,TST*MONICAS MERCATO,Food & Drink,Sale,-21.40,
11/05/2024,11/06/2024,SQ *BON ME TEST KITCHEN,Food & Drink,Sale,-16.67,
11/05/2024,11/06/2024,BSPT-CAM,Health & Wellness,Sale,-88.83,
11/05/2024,11/06/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
11/05/2024,11/06/2024,SHANGHAI FRESH,Food & Drink,Sale,-46.60,
11/03/2024,11/05/2024,RAISING CANES 0676,Food & Drink,Sale,-13.90,
11/03/2024,11/04/2024,UBER   *TRIP,Travel,Sale,-24.10,
11/03/2024,11/04/2024,SQ *BLUE BOTTLE COFFEE,Food & Drink,Sale,-12.93,
11/02/2024,11/03/2024,H MART CAMBRIDGE LLC,Groceries,Sale,-84.68,
11/02/2024,11/03/2024,TST*COMMITTEE - BOSTON,Food & Drink,Sale,-45.72,
10/31/2024,11/01/2024,UBER   *TRIP,Travel,Sale,-15.63,
10/31/2024,11/01/2024,CHIPOTLE 1615,Food & Drink,Sale,-6.42,
10/31/2024,11/01/2024,Store,Food & Drink,Sale,-15.05,
10/30/2024,10/31/2024,HIGHLAND CUISINE INC,Food & Drink,Sale,-42.00,
10/30/2024,10/31/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
10/31/2024,10/31/2024,DD *MR.BARTLEYS-COO,Food & Drink,Sale,-15.80,
10/29/2024,10/30/2024,UBER   *TRIP,Travel,Sale,-19.39,
10/29/2024,10/30/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
10/26/2024,10/29/2024,BOSTON MARGARITAVILLE,Food & Drink,Sale,-18.52,
10/26/2024,10/29/2024,HOWL AT THE MOON,Food & Drink,Sale,-25.50,
10/26/2024,10/29/2024,HOWL AT THE MOON,Food & Drink,Sale,-34.50,
10/28/2024,10/29/2024,CHIPOTLE 1615,Food & Drink,Sale,-10.81,
10/26/2024,10/29/2024,HOWL AT THE MOON,Food & Drink,Sale,-12.25,
10/27/2024,10/28/2024,UBER   *TRIP,Travel,Sale,-11.61,
10/26/2024,10/28/2024,SISSY KS,Food & Drink,Sale,-23.25,
10/28/2024,10/28/2024,UBER   *EATS,Food & Drink,Sale,-20.97,
10/27/2024,10/27/2024,UBER   *TRIP,Travel,Sale,-25.44,
10/27/2024,10/27/2024,UBER   *TRIP,Travel,Sale,-5.75,
10/26/2024,10/27/2024,Subway 31620,Food & Drink,Sale,-12.93,
10/25/2024,10/27/2024,CHIPOTLE ONLINE,Food & Drink,Sale,-10.81,
10/24/2024,10/25/2024,UBER   *TRIP,Travel,Sale,-29.20,
10/24/2024,10/25/2024,POTBELLY-548-319,Food & Drink,Sale,-21.25,
10/24/2024,10/25/2024,Store,Food & Drink,Sale,-15.05,
10/21/2024,10/23/2024,MENDOCINO FARMS #28,Food & Drink,Sale,-22.06,
10/21/2024,10/23/2024,RICE COFFEE HOUSE,Food & Drink,Sale,-6.00,
10/20/2024,10/22/2024,JERSEY MIKES 15003,Food & Drink,Sale,-21.85,
10/20/2024,10/22/2024,WHATABURGER 418    Q26,Food & Drink,Sale,-7.46,
10/19/2024,10/21/2024,TST*SALTY DONUT AUSTIN,Food & Drink,Sale,-4.68,
10/20/2024,10/21/2024,P. TERRYS STAND #1,Food & Drink,Sale,-3.25,
10/20/2024,10/21/2024,TST* GIBSON STREET BAR,Food & Drink,Sale,-47.92,
10/19/2024,10/21/2024,TST*SALTY DONUT AUSTIN,Food & Drink,Sale,-26.00,
10/18/2024,10/20/2024,Quattro Ristorante,Food & Drink,Sale,-106.55,
10/18/2024,10/20/2024,UBER   *TRIP,Travel,Sale,-26.27,
10/18/2024,10/20/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
10/19/2024,10/20/2024,UBER   *TRIP,Travel,Sale,-36.05,
10/19/2024,10/20/2024,SQ *80 PROOF  LLC,Food & Drink,Sale,-11.06,
10/19/2024,10/20/2024,WTF ICEHOUSE,Food & Drink,Sale,-21.00,
10/19/2024,10/20/2024,SQ *80 PROOF  LLC,Food & Drink,Sale,-17.73,
10/19/2024,10/20/2024,WTF ICEHOUSE,Food & Drink,Sale,-21.00,
10/19/2024,10/20/2024,WTF ICEHOUSE,Food & Drink,Sale,-29.00,
10/19/2024,10/20/2024,SQ *80 PROOF  LLC,Food & Drink,Sale,-25.86,
10/19/2024,10/20/2024,UBER   *TRIP,Travel,Sale,-27.96,
10/18/2024,10/20/2024,TERRY BLACK'S BBQ LOCK,Food & Drink,Sale,-69.97,
10/17/2024,10/18/2024,TST* NIGHT SHIFT -ESPLANA,Food & Drink,Sale,-9.76,
10/17/2024,10/18/2024,SEAMLSS*ALSCAFE,Food & Drink,Sale,-20.03,
10/18/2024,10/18/2024,Zipcar Monthly Plan,Travel,Sale,-9.56,
10/17/2024,10/18/2024,UBER   *TRIP,Travel,Sale,-7.44,
10/17/2024,10/17/2024,AUTOMATIC PAYMENT - THANK,,Payment,3868.29,
10/15/2024,10/17/2024,BLACK SEED HALAL GRILL,Food & Drink,Sale,-24.42,
10/15/2024,10/16/2024,SQ *THINKING CUP TREMONT,Groceries,Sale,-4.01,
